Gene stable ID	Transcript stable ID	Gene name	Transcription start site (TSS)	Gene start (bp)	Gene end (bp)	NCBI gene (formerly Entrezgene) ID	Chromosome/scaffold name
ENSACLG00000000050	ENSACLT00000000065	igf2bp3	19875910	19875910	19892990	113014426	22
ENSACLG00000000050	ENSACLT00000000084	igf2bp3	19875910	19875910	19892990	113014426	22
ENSACLG00000000050	ENSACLT00000000088	igf2bp3	19876595	19875910	19892990	113014426	22
ENSACLG00000000051	ENSACLT00000000053		2854991	2854991	2868516	113016171	23
ENSACLG00000000051	ENSACLT00000000067		2854991	2854991	2868516	113016171	23
ENSACLG00000000051	ENSACLT00000000104		2855730	2854991	2868516	113016171	23
ENSACLG00000000052	ENSACLT00000000069		21746211	21739571	21746211		5
ENSACLG00000000053	ENSACLT00000000054	TLR2	28637214	28637214	28639577	113024418	6
ENSACLG00000000054	ENSACLT00000000055	ttc13	17295942	17295942	17320115	113006435	15
ENSACLG00000000055	ENSACLT00000000056		10671051	10622603	10671051	113013852	20
ENSACLG00000000055	ENSACLT00000000075		10671051	10622603	10671051	113013852	20
ENSACLG00000000055	ENSACLT00000000096		10671051	10622603	10671051	113013852	20
ENSACLG00000000055	ENSACLT00000000105		10671051	10622603	10671051	113013852	20
ENSACLG00000000055	ENSACLT00000000128		10671051	10622603	10671051	113013852	20
ENSACLG00000000055	ENSACLT00000000134		10671051	10622603	10671051	113013852	20
ENSACLG00000000056	ENSACLT00000000087	enpp7.2	23750612	23750612	23756616		8
ENSACLG00000000056	ENSACLT00000000092	enpp7.2	23753483	23750612	23756616		8
ENSACLG00000000057	ENSACLT00000000120	ints8	7162881	7162881	7177485		22
ENSACLG00000000058	ENSACLT00000000073		17194077	17194077	17197474		4
ENSACLG00000000059	ENSACLT00000000066	TLR2	28646365	28646365	28648728	113024419	6
ENSACLG00000000060	ENSACLT00000000089		16724923	16724923	16729514		11
ENSACLG00000000061	ENSACLT00000000080		17324969	17324969	17327753		15
ENSACLG00000000062	ENSACLT00000000079	mpp3a	6758557	6730538	6758557	113020362	4
ENSACLG00000000062	ENSACLT00000000099	mpp3a	6758557	6730538	6758557	113020362	4
ENSACLG00000000062	ENSACLT00000000108	mpp3a	6758557	6730538	6758557	113020362	4
ENSACLG00000000063	ENSACLT00000000083		29927146	29924540	29933422		17
ENSACLG00000000063	ENSACLT00000000090		29933422	29924540	29933422		17
ENSACLG00000000064	ENSACLT00000000181	pdia2	28654678	28654678	28666040		6
ENSACLG00000000064	ENSACLT00000000227	pdia2	28654678	28654678	28666040		6
ENSACLG00000000064	ENSACLT00000000236	pdia2	28654678	28654678	28666040		6
ENSACLG00000000065	ENSACLT00000000074		15367275	15367275	15367598		19
ENSACLG00000000066	ENSACLT00000000082		15369195	15369195	15374104		19
ENSACLG00000000067	ENSACLT00000000086		28378088	28375757	28378088		3
ENSACLG00000000068	ENSACLT00000000098	clec11a	17332175	17325470	17332175	113007060	15
ENSACLG00000000069	ENSACLT00000000095		15391221	15391221	15392839		19
ENSACLG00000000070	ENSACLT00000000091	mnx1	19706511	19703466	19706511	113029354	9
ENSACLG00000000071	ENSACLT00000000093	pea15	28447277	28390739	28447277	113019139	3
ENSACLG00000000072	ENSACLT00000000116	camk1ga	37758040	37734174	37758040	113023084	5
ENSACLG00000000072	ENSACLT00000000140	camk1ga	37753919	37734174	37758040	113023084	5
ENSACLG00000000073	ENSACLT00000000118	rbb4l	37836013	37836013	37847609	113027513	1
ENSACLG00000000074	ENSACLT00000000097		23775827	23775827	23787916	113027737	8
ENSACLG00000000075	ENSACLT00000000110		16738710	16738710	16749756		11
ENSACLG00000000075	ENSACLT00000000115		16738710	16738710	16749756		11
ENSACLG00000000076	ENSACLT00000000106		15400747	15400747	15410096		19
ENSACLG00000000077	ENSACLT00000000179	ube3c	19712200	19712200	19745242	113029129	9
ENSACLG00000000077	ENSACLT00000000208	ube3c	19712718	19712200	19745242	113029129	9
ENSACLG00000000078	ENSACLT00000000117	casq1b	28474108	28474108	28499661	113019140	3
ENSACLG00000000079	ENSACLT00000000109		17346120	17338901	17346120		15
ENSACLG00000000080	ENSACLT00000000258	tfam	23795493	23788988	23795493	113027738	8
ENSACLG00000000080	ENSACLT00000000265	tfam	23795493	23788988	23795493	113027738	8
ENSACLG00000000081	ENSACLT00000000241	nbeab	8801917	8669728	8801917		14
ENSACLG00000000082	ENSACLT00000000164	gpnmb	19904834	19898156	19904834	113014425	22
ENSACLG00000000082	ENSACLT00000000171	gpnmb	19904834	19898156	19904834	113014425	22
ENSACLG00000000083	ENSACLT00000000113		897876	895304	897876		1
ENSACLG00000000084	ENSACLT00000000107	si:ch211-1i11.3	25880860	25858480	25880860	113031861	11
ENSACLG00000000085	ENSACLT00000000111		15406155	15406155	15406208		19
ENSACLG00000000086	ENSACLT00000000114		15407224	15407224	15407286		19
ENSACLG00000000087	ENSACLT00000000112	cx28.9	17350833	17347097	17350833	113006599	15
ENSACLG00000000088	ENSACLT00000000119		15415659	15415659	15416592		19
ENSACLG00000000089	ENSACLT00000000220	cx32.3	17353795	17352944	17353795	113037620	15
ENSACLG00000000090	ENSACLT00000000122		16759431	16759431	16763790	113032302	11
ENSACLG00000000090	ENSACLT00000000129		16759431	16759431	16763790	113032302	11
ENSACLG00000000091	ENSACLT00000000139		15419071	15419071	15423368		19
ENSACLG00000000092	ENSACLT00000000123	arnt2	910275	910275	981257		1
ENSACLG00000000092	ENSACLT00000000132	arnt2	910275	910275	981257		1
ENSACLG00000000092	ENSACLT00000000148	arnt2	910275	910275	981257		1
ENSACLG00000000092	ENSACLT00000000159	arnt2	911394	910275	981257		1
ENSACLG00000000092	ENSACLT00000000182	arnt2	911394	910275	981257		1
ENSACLG00000000093	ENSACLT00000000124		28530151	28530151	28532581	113019141	3
ENSACLG00000000094	ENSACLT00000000126	txlng	37853721	37847606	37853721	113027472	1
ENSACLG00000000095	ENSACLT00000000125		33909973	33900902	33909973	113026048	7
ENSACLG00000000096	ENSACLT00000000127	hnf1a	3901273	3891657	3901273	113033980	12
ENSACLG00000000097	ENSACLT00000000175	irak4	50208689	50202460	50208689	113026506	7
ENSACLG00000000097	ENSACLT00000000189	irak4	50207896	50202460	50208689	113026506	7
ENSACLG00000000098	ENSACLT00000000145	rbmx	34267023	34267023	34272685	113008018	2
ENSACLG00000000099	ENSACLT00000000169	ampd3a	18826089	18826089	18837463	113022407	1
ENSACLG00000000099	ENSACLT00000000186	ampd3a	18828881	18826089	18837463	113022407	1
ENSACLG00000000100	ENSACLT00000000137		27929661	27929661	27929718		16
ENSACLG00000000101	ENSACLT00000000152		7189729	7189729	7198929		22
ENSACLG00000000102	ENSACLT00000000130		29939639	29937930	29939639		17
ENSACLG00000000103	ENSACLT00000000147	cbr1	27914226	27902627	27914226	113034611	13
ENSACLG00000000104	ENSACLT00000000131	zgc:162025	3891657	3891657	3895222	113033981	12
ENSACLG00000000105	ENSACLT00000000133	si:ch211-198m17.1	6788070	6765890	6788070	113020363	4
ENSACLG00000000105	ENSACLT00000000141	si:ch211-198m17.1	6788070	6765890	6788070	113020363	4
ENSACLG00000000106	ENSACLT00000000170	ccdc102a	37856867	37856867	37908709	113027539	1
ENSACLG00000000107	ENSACLT00000000138	scyl3	2879374	2868526	2879374		23
ENSACLG00000000107	ENSACLT00000000146	scyl3	2879374	2868526	2879374		23
ENSACLG00000000108	ENSACLT00000000135	SNIP1	25885801	25880442	25885801	113031837	11
ENSACLG00000000109	ENSACLT00000000174	ghrb	33930034	33909181	33931248	113026051	7
ENSACLG00000000109	ENSACLT00000000185	ghrb	33931248	33909181	33931248	113026051	7
ENSACLG00000000109	ENSACLT00000000202	ghrb	33917700	33909181	33931248	113026051	7
ENSACLG00000000110	ENSACLT00000000392	TENM2	23049499	22878295	23049499	113034228	2
ENSACLG00000000110	ENSACLT00000000437	TENM2	23049499	22878295	23049499	113034228	2
ENSACLG00000000110	ENSACLT00000000523	TENM2	22995111	22878295	23049499	113034228	2
ENSACLG00000000110	ENSACLT00000000550	TENM2	22942291	22878295	23049499	113034228	2
ENSACLG00000000110	ENSACLT00000000597	TENM2	22935203	22878295	23049499	113034228	2
ENSACLG00000000111	ENSACLT00000000149	ZNF385A	21769242	21745821	21769242	113022560	5
ENSACLG00000000112	ENSACLT00000000196		28550827	28550827	28552650		3
ENSACLG00000000113	ENSACLT00000000143		29944719	29943880	29944719		17
ENSACLG00000000114	ENSACLT00000000142		3898269	3898269	3898330		12
ENSACLG00000000115	ENSACLT00000000242		25899986	25885293	25899986	113031836	11
ENSACLG00000000115	ENSACLT00000000260		25898869	25885293	25899986	113031836	11
ENSACLG00000000115	ENSACLT00000000304		25899228	25885293	25899986	113031836	11
ENSACLG00000000116	ENSACLT00000000161		15421207	15421207	15422596		19
ENSACLG00000000117	ENSACLT00000000144	msi1	3910864	3910864	3928626	113033633	12
ENSACLG00000000117	ENSACLT00000000157	msi1	3911099	3910864	3928626	113033633	12
ENSACLG00000000118	ENSACLT00000000221	usp48	37762779	37762779	37794413	113023078	5
ENSACLG00000000118	ENSACLT00000000248	usp48	37762779	37762779	37794413	113023078	5
ENSACLG00000000119	ENSACLT00000000154		29952362	29944836	29952362	113008905	17
ENSACLG00000000119	ENSACLT00000000163		29951432	29944836	29952362	113008905	17
ENSACLG00000000119	ENSACLT00000000172		29951432	29944836	29952362	113008905	17
ENSACLG00000000120	ENSACLT00000000180		10653221	10639880	10653221		20
ENSACLG00000000121	ENSACLT00000000150	setd4	27916982	27916982	27922123	113034609	13
ENSACLG00000000122	ENSACLT00000000153	NEUROD4	21784016	21783030	21784016		5
ENSACLG00000000123	ENSACLT00000000155	gdf6b	7232081	7228028	7232081	113014688	22
ENSACLG00000000124	ENSACLT00000000156	s1pr5a	26280710	26280710	26281846	113021265	4
ENSACLG00000000125	ENSACLT00000000276	arhgef6	34271897	34271897	34299960	113008001	2
ENSACLG00000000125	ENSACLT00000000289	arhgef6	34272706	34271897	34299960	113008001	2
ENSACLG00000000125	ENSACLT00000000357	arhgef6	34273399	34271897	34299960	113008001	2
ENSACLG00000000126	ENSACLT00000000176	endou	21793966	21792048	21793966	113021712	5
ENSACLG00000000127	ENSACLT00000000178	cryzl1	27928732	27923000	27928732		13
ENSACLG00000000128	ENSACLT00000000167		7230781	7230781	7232116		22
ENSACLG00000000129	ENSACLT00000000158	mybphb	8065405	8065405	8079069	113022034	5
ENSACLG00000000130	ENSACLT00000000184	znf281a	6806655	6797727	6806655		4
ENSACLG00000000130	ENSACLT00000000215	znf281a	6806655	6797727	6806655		4
ENSACLG00000000131	ENSACLT00000000160	lpxn	2882738	2882738	2889380	113016979	23
ENSACLG00000000132	ENSACLT00000000162	spc24	26287836	26283910	26287836	113021268	4
ENSACLG00000000133	ENSACLT00000000278	sept9a	17208019	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000315	sept9a	17208019	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000365	sept9a	17224496	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000384	sept9a	17224496	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000404	sept9a	17231476	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000436	sept9a	17231476	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000461	sept9a	17239916	17208019	17324500	113020883	4
ENSACLG00000000133	ENSACLT00000000483	sept9a	17239916	17208019	17324500	113020883	4
ENSACLG00000000134	ENSACLT00000000173		15432824	15432824	15437562		19
ENSACLG00000000135	ENSACLT00000000165	kri1	26296638	26289200	26296638	113021240	4
ENSACLG00000000136	ENSACLT00000000166	trabd2b	2903744	2903744	2983263	113015620	23
ENSACLG00000000137	ENSACLT00000000168	SYT2	8081123	8081123	8106684	113022039	5
ENSACLG00000000137	ENSACLT00000000187	SYT2	8093531	8081123	8106684	113022039	5
ENSACLG00000000138	ENSACLT00000000177		29957364	29955199	29957364		17
ENSACLG00000000139	ENSACLT00000000183	tsfm	21827210	21827210	21831948	113022562	5
ENSACLG00000000140	ENSACLT00000000507	pkhd1l1	7280971	7233830	7282688	113014458	22
ENSACLG00000000140	ENSACLT00000000536	pkhd1l1	7282688	7233830	7282688	113014458	22
ENSACLG00000000140	ENSACLT00000000545	pkhd1l1	7282181	7233830	7282688	113014458	22
ENSACLG00000000141	ENSACLT00000000323	polr3e	9055591	9055591	9071380	113028220	8
ENSACLG00000000141	ENSACLT00000000340	polr3e	9058628	9055591	9071380	113028220	8
ENSACLG00000000142	ENSACLT00000000213		2951993	2951993	2955930		23
ENSACLG00000000143	ENSACLT00000000243	dok4	37951203	37951203	38009193	113027580	1
ENSACLG00000000143	ENSACLT00000000259	dok4	37951203	37951203	38009193	113027580	1
ENSACLG00000000143	ENSACLT00000000266	dok4	37991091	37951203	38009193	113027580	1
ENSACLG00000000144	ENSACLT00000000856	itsn1	27941378	27941378	27964046		13
ENSACLG00000000145	ENSACLT00000000188	asb15b	29957739	29957739	29965313	113009674	17
ENSACLG00000000146	ENSACLT00000000275		10771218	10759251	10771218		20
ENSACLG00000000147	ENSACLT00000000190		32680162	32680162	32681178		12
ENSACLG00000000148	ENSACLT00000000191		19908343	19908343	19913381	113014678	22
ENSACLG00000000149	ENSACLT00000000193		26290200	26290102	26290200	113021583	4
ENSACLG00000000150	ENSACLT00000000192		8119297	8111878	8119297	113022041	5
ENSACLG00000000150	ENSACLT00000000199		8119297	8111878	8119297	113022041	5
ENSACLG00000000151	ENSACLT00000000195	ldlra	26310986	26300218	26310986	113021236	4
ENSACLG00000000152	ENSACLT00000000194	rpl37	31505266	31505266	31521768	113011031	18
ENSACLG00000000153	ENSACLT00000000198	si:dkey-238d18.5	16776693	16776693	16788015	113032301	11
ENSACLG00000000154	ENSACLT00000000203	actr3	28014771	28014771	28132063	113007917	16
ENSACLG00000000154	ENSACLT00000000226	actr3	28112310	28014771	28132063	113007917	16
ENSACLG00000000154	ENSACLT00000000252	actr3	28112310	28014771	28132063	113007917	16
ENSACLG00000000154	ENSACLT00000000268	actr3	28120120	28014771	28132063	113007917	16
ENSACLG00000000155	ENSACLT00000000197	ccr12a	31526632	31526632	31527714	113011013	18
ENSACLG00000000156	ENSACLT00000000205	ADAMTS20	50245251	50245251	50323805		7
ENSACLG00000000156	ENSACLT00000000219	ADAMTS20	50245251	50245251	50323805		7
ENSACLG00000000157	ENSACLT00000000200	gstt1a	32698922	32693380	32698922	113034092	12
ENSACLG00000000158	ENSACLT00000000201	fgf20a	12393152	12393152	12396315	113023252	6
ENSACLG00000000159	ENSACLT00000000229	zgc:153867	21833912	21833912	21842449	113022563	5
ENSACLG00000000160	ENSACLT00000000204	lmod2b	29966080	29966080	29972056	113009506	17
ENSACLG00000000160	ENSACLT00000000216	lmod2b	29966080	29966080	29972056	113009506	17
ENSACLG00000000161	ENSACLT00000000206	lyve1a	18837463	18834048	18837463	113022423	1
ENSACLG00000000162	ENSACLT00000000207	5S_rRNA	952651	952534	952651		1
ENSACLG00000000163	ENSACLT00000000396	smarca4a	26330942	26318959	26330983		4
ENSACLG00000000163	ENSACLT00000000413	smarca4a	26330983	26318959	26330983		4
ENSACLG00000000164	ENSACLT00000000211	golga4	10612567	10585358	10612567	113034751	13
ENSACLG00000000164	ENSACLT00000000233	golga4	10612567	10585358	10612567	113034751	13
ENSACLG00000000165	ENSACLT00000000261		5436817	5433657	5436817		18
ENSACLG00000000166	ENSACLT00000000210	kcnh8	19987230	19928132	19987230	113015114	22
ENSACLG00000000167	ENSACLT00000000262		28556128	28556128	28574323	113019146	3
ENSACLG00000000167	ENSACLT00000000269		28569448	28556128	28574323	113019146	3
ENSACLG00000000167	ENSACLT00000000281		28569765	28556128	28574323	113019146	3
ENSACLG00000000168	ENSACLT00000000209	TMEM233	3930124	3930124	3933428	113033884	12
ENSACLG00000000169	ENSACLT00000000228	abhd17c	1034288	1034288	1067601	113032154	1
ENSACLG00000000170	ENSACLT00000000212	dnajb6b	19759044	19759044	19776770	113029131	9
ENSACLG00000000171	ENSACLT00000000214		3070455	3069352	3070455	113016960	23
ENSACLG00000000172	ENSACLT00000000256	gstt1a	32732271	32729361	32732271		12
ENSACLG00000000173	ENSACLT00000000222		31539674	31539387	31539674		18
ENSACLG00000000174	ENSACLT00000000217	c7b	33944883	33944883	33954617	113026049	7
ENSACLG00000000175	ENSACLT00000000251		16830219	16817888	16830219		11
ENSACLG00000000176	ENSACLT00000000264	prkab1b	3934894	3934894	3940369	113034208	12
ENSACLG00000000176	ENSACLT00000000270	prkab1b	3934894	3934894	3940369	113034208	12
ENSACLG00000000176	ENSACLT00000000282	prkab1b	3935249	3934894	3940369	113034208	12
ENSACLG00000000177	ENSACLT00000000218	mrvi1	18863550	18838998	18863550		1
ENSACLG00000000177	ENSACLT00000000225	mrvi1	18860461	18838998	18863550		1
ENSACLG00000000178	ENSACLT00000000338	satb1a	19996895	19996895	20012146	113014421	22
ENSACLG00000000178	ENSACLT00000000388	satb1a	19997825	19996895	20012146	113014421	22
ENSACLG00000000178	ENSACLT00000000427	satb1a	19997867	19996895	20012146	113014421	22
ENSACLG00000000179	ENSACLT00000000401	igfn1.2	8136062	8120112	8136062		5
ENSACLG00000000179	ENSACLT00000000464	igfn1.2	8135332	8120112	8136062		5
ENSACLG00000000179	ENSACLT00000000509	igfn1.2	8134670	8120112	8136062		5
ENSACLG00000000180	ENSACLT00000000291	kpna7	12426587	12426587	12432917	113023906	6
ENSACLG00000000181	ENSACLT00000000231	foxe3	3076936	3075165	3076936	113016536	23
ENSACLG00000000182	ENSACLT00000000223		6801613	6801613	6803298		4
ENSACLG00000000183	ENSACLT00000000380	myo1ha	18751580	18739568	18751580		12
ENSACLG00000000184	ENSACLT00000000224	cx34.5	17359961	17355766	17359961	113006985	15
ENSACLG00000000184	ENSACLT00000000230	cx34.5	17359961	17355766	17359961	113006985	15
ENSACLG00000000185	ENSACLT00000000244	cntnap2b	31546386	31546386	31597031	113010985	18
ENSACLG00000000185	ENSACLT00000000286	cntnap2b	31560622	31546386	31597031	113010985	18
ENSACLG00000000186	ENSACLT00000000301		30002362	29979964	30003180	113008847	17
ENSACLG00000000186	ENSACLT00000000305		30003180	29979964	30003180	113008847	17
ENSACLG00000000186	ENSACLT00000000321		30003180	29979964	30003180	113008847	17
ENSACLG00000000186	ENSACLT00000000348		30003180	29979964	30003180	113008847	17
ENSACLG00000000187	ENSACLT00000000232	hsdl1	17365436	17360826	17365436	113037642	15
ENSACLG00000000188	ENSACLT00000000247	c6	33967279	33957630	33967279		7
ENSACLG00000000188	ENSACLT00000000267	c6	33967221	33957630	33967279		7
ENSACLG00000000189	ENSACLT00000000246	kcnj19a	6815820	6815820	6836391	113020366	4
ENSACLG00000000190	ENSACLT00000000234	ptprn2	19957999	19801615	19957999	113029132	9
ENSACLG00000000190	ENSACLT00000000250	ptprn2	19957999	19801615	19957999	113029132	9
ENSACLG00000000191	ENSACLT00000000235		3086387	3086387	3092437	113015792	23
ENSACLG00000000192	ENSACLT00000000263	B3GAT1	2688078	2651840	2688078	113030420	10
ENSACLG00000000193	ENSACLT00000000387	cemip	1106379	1106379	1258802	113032418	1
ENSACLG00000000193	ENSACLT00000000481	cemip	1165486	1106379	1258802	113032418	1
ENSACLG00000000194	ENSACLT00000000253		32846996	32846996	32850938	113030184	10
ENSACLG00000000195	ENSACLT00000000337	gpsm2l	11695201	11695201	11710292	113008866	17
ENSACLG00000000195	ENSACLT00000000350	gpsm2l	11700293	11695201	11710292	113008866	17
ENSACLG00000000195	ENSACLT00000000399	gpsm2l	11702311	11695201	11710292	113008866	17
ENSACLG00000000196	ENSACLT00000000720	smarcc2	21848676	21840516	21851941		5
ENSACLG00000000196	ENSACLT00000000781	smarcc2	21851941	21840516	21851941		5
ENSACLG00000000196	ENSACLT00000000849	smarcc2	21851795	21840516	21851941		5
ENSACLG00000000197	ENSACLT00000000257		15473683	15473683	15488752		19
ENSACLG00000000198	ENSACLT00000000237		20257569	20254983	20257569		18
ENSACLG00000000198	ENSACLT00000000255		20256733	20254983	20257569		18
ENSACLG00000000199	ENSACLT00000000300	SLC24A2	12023341	12023341	12070876	113018628	3
ENSACLG00000000199	ENSACLT00000000482	SLC24A2	12027286	12023341	12070876	113018628	3
ENSACLG00000000200	ENSACLT00000000238	tbc1d32	17365551	17365551	17457623	113037218	15
ENSACLG00000000201	ENSACLT00000000287		44233958	44233958	44236148		3
ENSACLG00000000202	ENSACLT00000000442	fat3b	16191593	16141028	16191593		10
ENSACLG00000000203	ENSACLT00000000239		3461738	3461738	3469732	113006935	15
ENSACLG00000000203	ENSACLT00000000249		3462573	3461738	3469732	113006935	15
ENSACLG00000000204	ENSACLT00000000299	rnf165a	17352663	17341903	17352663	113025568	7
ENSACLG00000000205	ENSACLT00000000240	mmp13b	22419901	22416789	22419901		14
ENSACLG00000000206	ENSACLT00000000324		28673912	28673912	28676808		6
ENSACLG00000000207	ENSACLT00000000245	si:zfos-452g4.1	3093895	3093895	3100098		23
ENSACLG00000000208	ENSACLT00000000279		2598337	2598337	2608620	113025077	7
ENSACLG00000000208	ENSACLT00000000288		2598337	2598337	2608620	113025077	7
ENSACLG00000000209	ENSACLT00000000285		3501773	3486583	3501773	113006826	15
ENSACLG00000000209	ENSACLT00000000298		3501773	3486583	3501773	113006826	15
